Device name,Managed Device ID,User principal name,Primary user,Email address,Ownership,Compliance,OS,OS version,Serial number,IMEI,Wi-Fi MAC,Azure AD Device ID,Last check-in,Device category,Notes
LT-FIELD-4412,1326b2b8-37da-5d66-a555-b8a1d9581815,veda.morris@northstar.example,Veda Morris,veda.morris@northstar.example,Corporate,Compliant,Windows,10.0.22631,NS-100000,359388438167445,00-15-5D-00-00-00,d2bbb1ae-a449-4536-90ca-19dada8d2f64,2026-06-01T08:00:00Z,Claims,Assigned to veda.morris@northstar.example in Finance; office IP 10.240.18.77
LT-FIN-2033,b28abca5-d424-5bb4-a02e-5ce2768afb73,marco.silva@northstar.example,Marco Silva,marco.silva@northstar.example,Personal,Noncompliant,macOS,10.0.19045,NS-100001,357348117791575,00-15-5D-01-03-07,94c3f818-18d0-4d42-9d83-31544ad23546,2026-06-01T08:08:00Z,Field,Assigned to marco.silva@northstar.example in FieldOps; office IP 10.10.22.45
WS-HR-1180,496e8901-2698-52d3-b848-0253aee9d7c6,june.park@northstar.example,June Park,june.park@northstar.example,Corporate,In grace period,iOS,14.5,NS-100002,352801289380311,00-15-5D-02-06-0E,65e33b5e-4d59-4108-84d0-95a809b7896a,2026-06-01T08:16:00Z,Finance,Assigned to june.park@northstar.example in HR; office IP 172.20.5.14
VDI-CALL-0902,74980a87-970e-56c1-a405-60e12cc54850,owen.reed@northstar.example,Owen Reed,owen.reed@northstar.example,Personal,Compliant,Android,17.4,NS-100003,354591323031987,00-15-5D-03-09-15,a6ca78c3-507e-475e-9533-0d8d10cf56b2,2026-06-01T08:24:00Z,Shared,Assigned to owen.reed@northstar.example in Engineering; office IP 192.168.42.91
SRV-APP-014,ee6e6457-b768-51e2-953b-9d1b88ddfc2c,nina.patel@northstar.example,Nina Patel,nina.patel@northstar.example,Corporate,Noncompliant,Windows,10.0.22631,NS-100004,354553989712497,00-15-5D-04-0C-1C,93404cc8-11d9-4488-81e9-7516e9f2e1a7,2026-06-01T08:32:00Z,Kiosk,Assigned to nina.patel@northstar.example in Claims; office IP 10.50.88.12
SRV-SQL-022,9f56a672-01c7-5319-9b5c-b866d6e09160,sam.ko@northstar.example,Sam Ko,sam.ko@northstar.example,Personal,In grace period,macOS,10.0.19045,NS-100005,356065991539148,00-15-5D-05-0F-23,db2fe693-e286-46a3-b662-5569a93274b4,2026-06-01T08:40:00Z,Claims,Assigned to sam.ko@northstar.example in Security; office IP 172.16.19.200
MAC-MKT-7781,5278034d-8df1-5ad4-9fb6-bbfb698a6a1a,lina.chen@northstar.example,Lina Chen,lina.chen@northstar.example,Corporate,Compliant,iOS,14.5,NS-100006,354669493772507,00-15-5D-06-12-2A,e93298ba-0525-42f5-92d5-04134b9b1963,2026-06-01T08:48:00Z,Field,Assigned to lina.chen@northstar.example in Finance; office IP 10.240.18.77
LT-ENG-5520,1b19cba9-f943-54ff-af67-d5f89efdc4a6,eli.wright@northstar.example,Eli Wright,eli.wright@northstar.example,Personal,Noncompliant,Android,17.4,NS-100007,359756213156794,00-15-5D-07-15-31,76979044-4f86-4311-a69e-2423a45b7a02,2026-06-01T08:56:00Z,Finance,Assigned to eli.wright@northstar.example in FieldOps; office IP 10.10.22.45
LT-FIELD-4412,1326b2b8-37da-5d66-a555-b8a1d9581815,veda.morris@northstar.example,Veda Morris,veda.morris@northstar.example,Corporate,In grace period,Windows,10.0.22631,NS-100008,355456880278932,00-15-5D-08-18-38,1af669e4-9b83-4e46-8df6-974fd8d0e02b,2026-06-01T09:04:00Z,Shared,Assigned to veda.morris@northstar.example in HR; office IP 172.20.5.14
LT-FIN-2033,b28abca5-d424-5bb4-a02e-5ce2768afb73,marco.silva@northstar.example,Marco Silva,marco.silva@northstar.example,Personal,Compliant,macOS,10.0.19045,NS-100009,355875532015741,00-15-5D-09-1B-3F,d9118628-b120-46c6-9325-57bbcf465d23,2026-06-01T09:12:00Z,Kiosk,Assigned to marco.silva@northstar.example in Engineering; office IP 192.168.42.91
WS-HR-1180,496e8901-2698-52d3-b848-0253aee9d7c6,june.park@northstar.example,June Park,june.park@northstar.example,Corporate,Noncompliant,iOS,14.5,NS-100010,353161404388269,00-15-5D-0A-1E-46,5fa86995-9381-4eca-befe-999f3ee56506,2026-06-01T09:20:00Z,Claims,Assigned to june.park@northstar.example in Claims; office IP 10.50.88.12
