CreationDate,UserIds,Operations,AuditData,ResultStatus,RecordType
2026-06-01T08:00:00Z,veda.morris@northstar.example,UserLoggedIn,"{""CreationTime"":""2026-06-01T08:00:00Z"",""Id"":""1d943504-5384-401a-ba30-a65977b355c5"",""Operation"":""UserLoggedIn"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""veda.morris@northstar.example"",""UserId"":""veda.morris@northstar.example"",""ClientIP"":""203.0.113.41"",""Workload"":""Exchange"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1000.docx"",""DeviceName"":""LT-FIELD-4412"",""UserAgent"":""Mozilla/5.0 Edge/124"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""veda.morris@northstar.example""}]}",Succeeded,AzureActiveDirectory
2026-06-01T08:02:00Z,marco.silva@northstar.example,FileAccessed,"{""CreationTime"":""2026-06-01T08:02:00Z"",""Id"":""40ef9b26-e591-461c-b06f-72e073866dfe"",""Operation"":""FileAccessed"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""marco.silva@northstar.example"",""UserId"":""marco.silva@northstar.example"",""ClientIP"":""198.51.100.22"",""Workload"":""SharePoint"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1001.docx"",""DeviceName"":""LT-FIN-2033"",""UserAgent"":""Teams/24215"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""marco.silva@northstar.example""}]}",Succeeded,ExchangeItem
2026-06-01T08:04:00Z,june.park@northstar.example,Add member to role,"{""CreationTime"":""2026-06-01T08:04:00Z"",""Id"":""004115e0-5a31-4e75-a131-bdf68b51e006"",""Operation"":""Add member to role"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""june.park@northstar.example"",""UserId"":""june.park@northstar.example"",""ClientIP"":""192.0.2.77"",""Workload"":""AzureActiveDirectory"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1002.docx"",""DeviceName"":""WS-HR-1180"",""UserAgent"":""Outlook-iOS/4.0"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""june.park@northstar.example""}]}",Failed,SharePointFileOperation
2026-06-01T08:06:00Z,owen.reed@northstar.example,Send,"{""CreationTime"":""2026-06-01T08:06:00Z"",""Id"":""7bca9bfb-b8bb-4b8e-b637-400bc508fa7a"",""Operation"":""Send"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""owen.reed@northstar.example"",""UserId"":""owen.reed@northstar.example"",""ClientIP"":""203.0.113.88"",""Workload"":""MicrosoftTeams"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1003.docx"",""DeviceName"":""VDI-CALL-0902"",""UserAgent"":""PowerShell/7.4"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""owen.reed@northstar.example""}]}",Succeeded,Teams
2026-06-01T08:08:00Z,nina.patel@northstar.example,MailboxLogin,"{""CreationTime"":""2026-06-01T08:08:00Z"",""Id"":""5b51e987-f5e3-454e-a360-58bc9272bc94"",""Operation"":""MailboxLogin"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""nina.patel@northstar.example"",""UserId"":""nina.patel@northstar.example"",""ClientIP"":""10.240.18.77"",""Workload"":""Exchange"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1004.docx"",""DeviceName"":""SRV-APP-014"",""UserAgent"":""Mozilla/5.0 Edge/124"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""nina.patel@northstar.example""}]}",Succeeded,AzureActiveDirectory
2026-06-01T08:10:00Z,sam.ko@northstar.example,Set-Mailbox,"{""CreationTime"":""2026-06-01T08:10:00Z"",""Id"":""2e7ee091-9bf7-4d09-953d-3d5193b607c9"",""Operation"":""Set-Mailbox"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""sam.ko@northstar.example"",""UserId"":""sam.ko@northstar.example"",""ClientIP"":""10.10.22.45"",""Workload"":""SharePoint"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1005.docx"",""DeviceName"":""SRV-SQL-022"",""UserAgent"":""Teams/24215"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""sam.ko@northstar.example""}]}",Failed,ExchangeItem
2026-06-01T08:12:00Z,lina.chen@northstar.example,TeamsSessionStarted,"{""CreationTime"":""2026-06-01T08:12:00Z"",""Id"":""68204db8-a5a6-481c-b26f-ccfb77381681"",""Operation"":""TeamsSessionStarted"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""lina.chen@northstar.example"",""UserId"":""lina.chen@northstar.example"",""ClientIP"":""172.20.5.14"",""Workload"":""AzureActiveDirectory"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1006.docx"",""DeviceName"":""MAC-MKT-7781"",""UserAgent"":""Outlook-iOS/4.0"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""lina.chen@northstar.example""}]}",Succeeded,SharePointFileOperation
2026-06-01T08:14:00Z,eli.wright@northstar.example,UserLoggedIn,"{""CreationTime"":""2026-06-01T08:14:00Z"",""Id"":""6ce09fe3-9a46-4074-82b0-6f90ec223f48"",""Operation"":""UserLoggedIn"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""eli.wright@northstar.example"",""UserId"":""eli.wright@northstar.example"",""ClientIP"":""192.168.42.91"",""Workload"":""MicrosoftTeams"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1007.docx"",""DeviceName"":""LT-ENG-5520"",""UserAgent"":""PowerShell/7.4"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""eli.wright@northstar.example""}]}",Succeeded,Teams
2026-06-01T08:16:00Z,veda.morris@northstar.example,FileAccessed,"{""CreationTime"":""2026-06-01T08:16:00Z"",""Id"":""738cc771-cb99-4b17-b6bc-9c34073da61a"",""Operation"":""FileAccessed"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""veda.morris@northstar.example"",""UserId"":""veda.morris@northstar.example"",""ClientIP"":""10.50.88.12"",""Workload"":""Exchange"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1008.docx"",""DeviceName"":""LT-FIELD-4412"",""UserAgent"":""Mozilla/5.0 Edge/124"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""veda.morris@northstar.example""}]}",Failed,AzureActiveDirectory
2026-06-01T08:18:00Z,marco.silva@northstar.example,Add member to role,"{""CreationTime"":""2026-06-01T08:18:00Z"",""Id"":""95089388-67a0-47e7-b52d-8e3f7489d4d4"",""Operation"":""Add member to role"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""marco.silva@northstar.example"",""UserId"":""marco.silva@northstar.example"",""ClientIP"":""172.16.19.200"",""Workload"":""SharePoint"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1009.docx"",""DeviceName"":""LT-FIN-2033"",""UserAgent"":""Teams/24215"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""marco.silva@northstar.example""}]}",Succeeded,ExchangeItem
