event_time,database_name,database_user,application_name,client_addr,client_port,session_id,statement_id,command_tag,object_name,statement,detail,hint,backend_pid,server_host
2026-05-15T15:47:21Z,claimsdb,svc_claims_api,Northstar.Claims.Api,192.0.2.14,45000,bf4506cb-e606-40e0-b8a9-94b63f244671,1,UPDATE,identity.users,update users set recovery_email='naomi.rivera@northstar.example' where user_name='naomi.rivera',parameters: workstation=LT-RIVER-7742; sid=S-1-5-21-4089823147-2712345678-1977000100-1100; mac=00:16:3e:00:00:00,check row level policy,7000,api-ember-09.internal.example
2026-05-15T15:47:58Z,identitydb,svc_claims_api,JDBC Driver,172.22.9.10,45001,702528a2-c5aa-47c8-b8de-18973212bc75,2,DELETE,identity.users,update users set recovery_email='eliot.park@field.example.net' where user_name='eliot.park',parameters: workstation=VDI-CALL-0902; sid=S-1-5-21-4089823147-2712345678-1977000101-1101; mac=00:16:3e:01:07:0d,-,7001,claims-api-02.internal.example
2026-05-15T15:48:35Z,claimsdb,marco.silva,JDBC Driver,192.168.66.21,45002,df0eb292-cb58-411d-9f7c-f8201831447b,3,UPDATE,public.claims,copy evidence from '\\files-river-02\exports\marco.silva\case2.csv',parameters: workstation=SRV-ASTER-01; sid=S-1-5-21-4089823147-2712345678-1977000102-1102; mac=00:16:3e:02:0e:1a,-,7002,files-river-02.internal.example
2026-05-15T15:49:12Z,auditdb,rhea.maddox@northstar.example,Northstar.Claims.Api,172.22.9.29,45003,df5cd81d-9f7f-4b2f-be48-e83a6bbf4439,4,COPY,identity.users,select * from claims where assigned_to='rhea.maddox@northstar.example' and ip='192.168.66.43',parameters: workstation=gw-cobalt-02; sid=S-1-5-21-4089823147-2712345678-1977000103-1103; mac=00:16:3e:03:15:27,-,7003,worker-orchid-03.internal.example
2026-05-15T15:49:49Z,identitydb,cal.derosa@field.example.net,Northstar.Claims.Api,198.51.100.58,45004,de7315ce-a817-4050-9ae0-c176efeada35,5,DELETE,audit.raw_events,copy evidence from '\\files-river-02\exports\cal.derosa\case4.csv',parameters: workstation=api-ember-09; sid=S-1-5-21-4089823147-2712345678-1977000104-1104; mac=00:16:3e:04:1c:34,-,7004,reports-moss-05.internal.example
2026-05-15T15:50:26Z,auditdb,report_reader,Northstar.Claims.Api,10.44.18.46,45005,fb0cb211-8859-4c81-abfa-60fa1021eb80,6,SELECT,public.claims,select * from claims where assigned_to='quinn.rosales@keystone.example.org' and ip='192.168.66.31',parameters: workstation=worker-orchid-03; sid=S-1-5-21-4089823147-2712345678-1977000105-1105; mac=00:16:3e:05:23:41,-,7005,cache-pearl-01.internal.example
2026-05-15T15:51:03Z,identitydb,svc_claims_api,PowerBI Gateway,192.168.66.29,45006,db18cd46-d5f7-40f8-a26e-445b5b697fe5,7,UPDATE,identity.users,"call rotate_api_key('svc-veda-morris', 'sk-test-bea9e70d6b0a714b7d0e0e66')",parameters: workstation=db-onyx-03; sid=S-1-5-21-4089823147-2712345678-1977000106-1106; mac=00:16:3e:06:2a:4e,-,7006,reports-moss-05.internal.example
2026-05-15T15:51:40Z,claimsdb,tomas.aker,psql,172.22.9.25,45007,141b15f6-daa3-44e5-bffa-63ed1faf737c,8,SELECT,identity.users,copy evidence from '\\files-river-02\exports\tomas.aker\case7.csv',parameters: workstation=DESKTOP-LAB-4421; sid=S-1-5-21-4089823147-2712345678-1977000107-1107; mac=00:16:3e:07:31:5b,check row level policy,7007,files-river-02.internal.example
2026-05-15T15:52:17Z,identitydb,iris.monte@keystone.example.org,PowerBI Gateway,192.0.2.15,45008,9902978a-b889-4ed6-946d-7eff775d1581,9,SELECT,secrets.api_keys,select * from claims where assigned_to='iris.monte@keystone.example.org' and ip='192.168.66.47',parameters: workstation=LAPTOP-FIELD-1188; sid=S-1-5-21-4089823147-2712345678-1977000108-1108; mac=00:16:3e:08:38:68,-,7008,worker-orchid-03.internal.example
2026-05-15T15:52:54Z,auditdb,mira.vale@northstar.example,psql,172.22.9.17,45009,1c8d713c-8c01-498d-8554-93028e0af814,10,COPY,public.claims,"call rotate_api_key('svc-mira-vale', 'sk-test-e96845d16746e2afeadca6a3')",parameters: workstation=LT-RIVER-7742; sid=S-1-5-21-4089823147-2712345678-1977000109-1109; mac=00:16:3e:09:3f:75,-,7009,claims-api-02.internal.example
